X,Y,GU_NM,THT_HG,BHT_DM,WTRTB_BT,WDPT_NM,CREAT_DE
126.99606074,37.560342757,중구,6.00000000,15.00000000,5.00000000,왕벚나무,
126.996722408,37.56008646,중구,4.00000000,13.00000000,2.00000000,왕벚나무,
126.996681602,37.56004179,중구,4.00000000,13.00000000,2.00000000,왕벚나무,
126.996548982,37.559928085,중구,4.00000000,13.00000000,2.00000000,왕벚나무,
126.96831241,37.522430485,용산구,11.00000000,17.00000000,5.00000000,왕벚나무,
126.95993044,37.539793012,용산구,7.00000000,18.00000000,1.00000000,왕벚나무,
126.962064429,37.523304031,용산구,11.00000000,21.00000000,6.00000000,산벚나무,
126.963123908,37.524408109,용산구,12.00000000,23.00000000,7.00000000,산벚나무,
126.965789036,37.521973695,용산구,11.00000000,18.00000000,5.00000000,왕벚나무,
126.953837726,37.535470423,용산구,6.00000000,8.00000000,3.00000000,왕벚나무,
126.959481726,37.538763914,용산구,3.00000000,8.00000000,2.00000000,왕벚나무,
126.960152567,37.537647208,용산구,3.00000000,8.00000000,2.00000000,왕벚나무,
126.967602162,37.522280253,용산구,11.00000000,16.00000000,5.00000000,왕벚나무,
126.968091793,37.522384933,용산구,11.00000000,19.00000000,5.00000000,왕벚나무,
126.968253636,37.522417862,용산구,11.00000000,16.00000000,5.00000000,왕벚나무,
126.953789448,37.535360862,용산구,7.00000000,8.00000000,3.00000000,왕벚나무,
126.959384229,37.538807763,용산구,3.00000000,8.00000000,2.00000000,왕벚나무,
126.996064786,37.560264905,중구,6.00000000,15.00000000,5.00000000,왕벚나무,
126.996078708,37.560127493,중구,5.00000000,12.00000000,5.00000000,왕벚나무,
126.996078906,37.560083757,중구,5.00000000,12.00000000,5.00000000,왕벚나무,
126.996077629,37.560035078,중구,5.00000000,12.00000000,6.00000000,왕벚나무,
126.996083991,37.559908227,중구,4.00000000,12.00000000,6.00000000,왕벚나무,
126.996101232,37.559843271,중구,4.00000000,12.00000000,6.00000000,왕벚나무,
126.960246239,37.539660902,용산구,7.00000000,40.00000000,4.00000000,왕벚나무,
126.959940193,37.538065557,용산구,5.00000000,13.00000000,1.00000000,왕벚나무,
126.959991247,37.537900237,용산구,3.00000000,9.00000000,2.00000000,왕벚나무,
127.011991124,37.554695869,중구,7.00000000,15.00000000,5.00000000,왕벚나무,
126.996274693,37.559390788,중구,6.00000000,12.00000000,5.00000000,왕벚나무,
126.959749159,37.538362443,용산구,5.00000000,9.00000000,2.00000000,왕벚나무,
126.963800712,37.525109598,용산구,10.00000000,21.00000000,6.00000000,산벚나무,
126.959694096,37.538352315,용산구,3.00000000,9.00000000,2.00000000,왕벚나무,
